space,step7,choiceG,choiceF,choiceG,step6,choiceF,space,choiceF,space,choiceE,space,choiceD,choiceC,choiceD,choiceB,choiceE,choiceD,space,choiceB,choiceC,step3,step4,choiceC,space,choiceC,choiceE,choiceD,choiceE,choiceF,space,choiceF,space,choiceF,choiceC,choiceB,choiceC,choiceD,choiceF,choiceB,step1,choiceF,space,step2,choiceD,choiceC,step2,choiceC,step3,choiceE,space,choiceB,step4,choiceB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceD,step2,step1,step2,step1,choiceD,choiceE,choiceD,space,choiceD,step2,space,step2,step1,step2,step1,space,choiceE,choiceF,choiceE,choiceF,space,choiceF,space,step2,choiceA,space,step3,choiceB,space,choiceB,choiceC,step3,choiceC,choiceB,step4,space,step4,choiceB,space,step4,step3,space,step2,step4,step3,space,choiceD,step4,step5,step4,step3,choiceF,space,step4,choiceB,choiceA,choiceB,space,choiceB,choiceC,space,choiceG,step5,space,choiceG,step6,space,step6,choiceC,choiceB,space,choiceB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceG,step7,choiceG,choiceF,choiceB,choiceA,space,step7,choiceF,choiceG,choiceF,step6,choiceE,space,choiceB,choiceC,choiceD,choiceC,choiceD,choiceC,choiceD,step2,step1,choiceC,choiceE,step1,step2,space,choiceF,step2,step1,choiceE,choiceF,step2,choiceB,space,choiceE,step4,choiceC,step3,space,choiceB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceD,step2,space,choiceD,choiceF,space,choiceE,choiceG,space,choiceF,space,choiceE,choiceD,step2,step1,space,choiceE,choiceC,choiceE,choiceF,step2,step1,step2,choiceC,step3,choiceE,step5,step4,choiceB,choiceA,choiceG,step5,choiceG,step6,space,choiceA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceA,step6,choiceG,space,choiceC,choiceB,space,choiceB,choiceC,choiceD,choiceC,step2,choiceC,step2,step3,choiceE,space,choiceE,step7,space,choiceB,choiceE,step4,choiceE,choiceC,choiceB,step5,choiceF,step3,step2,space,step1,choiceE,choiceF,step3,step2,step3,choiceG,step4,step3,space,step4,choiceG,space,step7,choiceG,space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceB,step6,choiceA,space,choiceF,choiceG,step7,choiceC,space,choiceC,choiceD,choiceC,choiceD,choiceE,choiceD,step2,choiceC,question,choiceE,choiceF,choiceG,step1,space,choiceG,step7,step6,choiceG,step5,choiceG,step6,choiceE,space,step5,step4,choiceC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceC,question,choiceB,choiceC,choiceF,choiceG,choiceE,choiceC,step1,step2,choiceC,step3,space,step3,choiceE,choiceB,choiceA,choiceF,choiceG,choiceD,choiceB,step4,step3,choiceB,step4,choiceA,step6,choiceG,step7,choiceG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step6,choiceA,space,step6,step7,choiceE,space,choiceE,choiceF,step7,step6,choiceF,space,choiceF,choiceE,choiceD,choiceC,choiceD,space,choiceB,space,choiceB,choiceA,choiceC,choiceD,step5,step4,choiceE,choiceF,space,choiceF,step4,step5,choiceD,choiceC,choiceD,choiceE,choiceF,space,choiceF,question,step1,space,question,choiceC,choiceD,choiceE,step1,choiceC,question,space,choiceD,space,choiceD,space,step1,question,space,step1,step5,step6,step5,choiceE,choiceD,question,choiceC,choiceE,step1,step2,step1,step3,space,step3,choiceC,step3,step1,step4,step5,choiceC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceD,step2,step1,choiceF,step3,step2,choiceD,choiceC,space,choiceC,step3,choiceB,choiceE,space,choiceE,choiceA,choiceB,choiceE,choiceG,step3,step4,choiceB,step5,choiceG,space,choiceG,space,choiceA,step6,space,choiceA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choiceE,choiceF,choiceG,step7,space,choiceE,choiceD,choiceC,space,step6,choiceF,choiceG,step6,choiceF,space,choiceF,choiceE,space,choiceA,step1,space,step1,step7,step6,step5,step7,step6,choiceC,choiceA,choiceC,space,step7,step1,choiceC,step1,step2,choiceD,step2,space,choiceD,step3,step1,step2,choiceD,step2,step1,choiceE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
